product_cd	category_major_cd	category_major_name	category_medium_cd	category_medium_name	category_small_cd	category_small_name	unit_price	unit_cost
P040101001	04	惣菜	0401	御飯類	040101	弁当類	198.0	149.0
P040101002	04	惣菜	0401	御飯類	040101	弁当類	218.0	164.0
P040101003	04	惣菜	0401	御飯類	040101	弁当類	230.0	173.0
P040101004	04	惣菜	0401	御飯類	040101	弁当類	248.0	186.0
P040101005	04	惣菜	0401	御飯類	040101	弁当類	268.0	201.0
P040101006	04	惣菜	0401	御飯類	040101	弁当類	298.0	224.0
P040101007	04	惣菜	0401	御飯類	040101	弁当類	338.0	254.0
P040101008	04	惣菜	0401	御飯類	040101	弁当類	420.0	315.0
P040101009	04	惣菜	0401	御飯類	040101	弁当類	498.0	374.0
P040101010	04	惣菜	0401	御飯類	040101	弁当類	580.0	435.0
P040102001	04	惣菜	0401	御飯類	040102	寿司類	268.0	201.0
P040102002	04	惣菜	0401	御飯類	040102	寿司類	268.0	201.0
P040102003	04	惣菜	0401	御飯類	040102	寿司類	278.0	209.0
P040102004	04	惣菜	0401	御飯類	040102	寿司類	318.0	239.0
P040102005	04	惣菜	0401	御飯類	040102	寿司類	318.0	239.0
P040102006	04	惣菜	0401	御飯類	040102	寿司類	318.0	239.0
P040102007	04	惣菜	0401	御飯類	040102	寿司類	338.0	254.0
P040102008	04	惣菜	0401	御飯類	040102	寿司類	358.0	269.0
P040102009	04	惣菜	0401	御飯類	040102	寿司類	358.0	269.0
P040102010	04	惣菜	0401	御飯類	040102	寿司類	358.0	269.0
P040102011	04	惣菜	0401	御飯類	040102	寿司類	358.0	269.0
P040102012	04	惣菜	0401	御飯類	040102	寿司類	358.0	269.0
P040102013	04	惣菜	0401	御飯類	040102	寿司類	398.0	299.0
P040102014	04	惣菜	0401	御飯類	040102	寿司類	398.0	299.0
P040102015	04	惣菜	0401	御飯類	040102	寿司類	398.0	299.0
P040102016	04	惣菜	0401	御飯類	040102	寿司類	398.0	299.0
P040102017	04	惣菜	0401	御飯類	040102	寿司類	438.0	329.0
P040102018	04	惣菜	0401	御飯類	040102	寿司類	498.0	374.0
P040102019	04	惣菜	0401	御飯類	040102	寿司類	598.0	449.0
P040102020	04	惣菜	0401	御飯類	040102	寿司類	980.0	735.0
P040102021	04	惣菜	0401	御飯類	040102	寿司類	1780.0	1335.0
P040102022	04	惣菜	0401	御飯類	040102	寿司類	3000.0	2250.0
P040102023	04	惣菜	0401	御飯類	040102	寿司類	5000.0	3750.0
P040102024	04	惣菜	0401	御飯類	040102	寿司類	5000.0	3750.0
P040201001	04	惣菜	0402	佃煮類	040201	魚介佃煮類	148.0	111.0
P040201002	04	惣菜	0402	佃煮類	040201	魚介佃煮類	178.0	134.0
P040201003	04	惣菜	0402	佃煮類	040201	魚介佃煮類	198.0	149.0
P040201004	04	惣菜	0402	佃煮類	040201	魚介佃煮類	248.0	186.0
P040201005	04	惣菜	0402	佃煮類	040201	魚介佃煮類	258.0	194.0
P040201006	04	惣菜	0402	佃煮類	040201	魚介佃煮類	298.0	224.0
P040202001	04	惣菜	0402	佃煮類	040202	海草佃煮類	178.0	134.0
P040202002	04	惣菜	0402	佃煮類	040202	海草佃煮類	178.0	134.0
P040202003	04	惣菜	0402	佃煮類	040202	海草佃煮類	178.0	134.0
P040202004	04	惣菜	0402	佃煮類	040202	海草佃煮類	178.0	134.0
P040202005	04	惣菜	0402	佃煮類	040202	海草佃煮類	178.0	134.0
P040202006	04	惣菜	0402	佃煮類	040202	海草佃煮類	178.0	134.0
P040202007	04	惣菜	0402	佃煮類	040202	海草佃煮類	178.0	134.0
P040202008	04	惣菜	0402	佃煮類	040202	海草佃煮類	178.0	134.0
P040202009	04	惣菜	0402	佃煮類	040202	海草佃煮類	198.0	149.0
P040202010	04	惣菜	0402	佃煮類	040202	海草佃煮類	198.0	149.0
P040202011	04	惣菜	0402	佃煮類	040202	海草佃煮類	198.0	149.0
P040202012	04	惣菜	0402	佃煮類	040202	海草佃煮類	298.0	224.0
