,product_cd,category_major_cd,category_major_name,category_medium_cd,category_medium_name,category_small_cd,category_small_name,unit_price,unit_cost
0,P040101001,04,惣菜,0401,御飯類,040101,弁当類,198.0,149.0
1,P040101002,04,惣菜,0401,御飯類,040101,弁当類,218.0,164.0
2,P040101003,04,惣菜,0401,御飯類,040101,弁当類,230.0,173.0
3,P040101004,04,惣菜,0401,御飯類,040101,弁当類,248.0,186.0
4,P040101005,04,惣菜,0401,御飯類,040101,弁当類,268.0,201.0
5,P040101006,04,惣菜,0401,御飯類,040101,弁当類,298.0,224.0
6,P040101007,04,惣菜,0401,御飯類,040101,弁当類,338.0,254.0
7,P040101008,04,惣菜,0401,御飯類,040101,弁当類,420.0,315.0
8,P040101009,04,惣菜,0401,御飯類,040101,弁当類,498.0,374.0
9,P040101010,04,惣菜,0401,御飯類,040101,弁当類,580.0,435.0
10,P040102001,04,惣菜,0401,御飯類,040102,寿司類,268.0,201.0
11,P040102002,04,惣菜,0401,御飯類,040102,寿司類,268.0,201.0
12,P040102003,04,惣菜,0401,御飯類,040102,寿司類,278.0,209.0
13,P040102004,04,惣菜,0401,御飯類,040102,寿司類,318.0,239.0
14,P040102005,04,惣菜,0401,御飯類,040102,寿司類,318.0,239.0
15,P040102006,04,惣菜,0401,御飯類,040102,寿司類,318.0,239.0
16,P040102007,04,惣菜,0401,御飯類,040102,寿司類,338.0,254.0
17,P040102008,04,惣菜,0401,御飯類,040102,寿司類,358.0,269.0
18,P040102009,04,惣菜,0401,御飯類,040102,寿司類,358.0,269.0
19,P040102010,04,惣菜,0401,御飯類,040102,寿司類,358.0,269.0
20,P040102011,04,惣菜,0401,御飯類,040102,寿司類,358.0,269.0
21,P040102012,04,惣菜,0401,御飯類,040102,寿司類,358.0,269.0
22,P040102013,04,惣菜,0401,御飯類,040102,寿司類,398.0,299.0
23,P040102014,04,惣菜,0401,御飯類,040102,寿司類,398.0,299.0
24,P040102015,04,惣菜,0401,御飯類,040102,寿司類,398.0,299.0
25,P040102016,04,惣菜,0401,御飯類,040102,寿司類,398.0,299.0
26,P040102017,04,惣菜,0401,御飯類,040102,寿司類,438.0,329.0
27,P040102018,04,惣菜,0401,御飯類,040102,寿司類,498.0,374.0
28,P040102019,04,惣菜,0401,御飯類,040102,寿司類,598.0,449.0
29,P040102020,04,惣菜,0401,御飯類,040102,寿司類,980.0,735.0
30,P040102021,04,惣菜,0401,御飯類,040102,寿司類,1780.0,1335.0
31,P040102022,04,惣菜,0401,御飯類,040102,寿司類,3000.0,2250.0
32,P040102023,04,惣菜,0401,御飯類,040102,寿司類,5000.0,3750.0
33,P040102024,04,惣菜,0401,御飯類,040102,寿司類,5000.0,3750.0
34,P040201001,04,惣菜,0402,佃煮類,040201,魚介佃煮類,148.0,111.0
35,P040201002,04,惣菜,0402,佃煮類,040201,魚介佃煮類,178.0,134.0
36,P040201003,04,惣菜,0402,佃煮類,040201,魚介佃煮類,198.0,149.0
37,P040201004,04,惣菜,0402,佃煮類,040201,魚介佃煮類,248.0,186.0
38,P040201005,04,惣菜,0402,佃煮類,040201,魚介佃煮類,258.0,194.0
39,P040201006,04,惣菜,0402,佃煮類,040201,魚介佃煮類,298.0,224.0
40,P040202001,04,惣菜,0402,佃煮類,040202,海草佃煮類,178.0,134.0
41,P040202002,04,惣菜,0402,佃煮類,040202,海草佃煮類,178.0,134.0
42,P040202003,04,惣菜,0402,佃煮類,040202,海草佃煮類,178.0,134.0
43,P040202004,04,惣菜,0402,佃煮類,040202,海草佃煮類,178.0,134.0
44,P040202005,04,惣菜,0402,佃煮類,040202,海草佃煮類,178.0,134.0
45,P040202006,04,惣菜,0402,佃煮類,040202,海草佃煮類,178.0,134.0
46,P040202007,04,惣菜,0402,佃煮類,040202,海草佃煮類,178.0,134.0
47,P040202008,04,惣菜,0402,佃煮類,040202,海草佃煮類,178.0,134.0
48,P040202009,04,惣菜,0402,佃煮類,040202,海草佃煮類,198.0,149.0
49,P040202010,04,惣菜,0402,佃煮類,040202,海草佃煮類,198.0,149.0
50,P040202011,04,惣菜,0402,佃煮類,040202,海草佃煮類,198.0,149.0
51,P040202012,04,惣菜,0402,佃煮類,040202,海草佃煮類,298.0,224.0
52,P040203001,04,惣菜,0402,佃煮類,040203,野菜佃煮類,188.0,141.0
53,P040203002,04,惣菜,0402,佃煮類,040203,野菜佃煮類,428.0,321.0
54,P040204001,04,惣菜,0402,佃煮類,040204,豆佃煮類,158.0,119.0
55,P040204002,04,惣菜,0402,佃煮類,040204,豆佃煮類,188.0,141.0
56,P040204003,04,惣菜,0402,佃煮類,040204,豆佃煮類,188.0,141.0
57,P040204004,04,惣菜,0402,佃煮類,040204,豆佃煮類,188.0,141.0
58,P040204005,04,惣菜,0402,佃煮類,040204,豆佃煮類,198.0,149.0
59,P040204006,04,惣菜,0402,佃煮類,040204,豆佃煮類,198.0,149.0
60,P040204007,04,惣菜,0402,佃煮類,040204,豆佃煮類,198.0,149.0
61,P040204008,04,惣菜,0402,佃煮類,040204,豆佃煮類,198.0,149.0
62,P040204009,04,惣菜,0402,佃煮類,040204,豆佃煮類,398.0,299.0
63,P040301001,04,惣菜,0403,サラダ類,040301,サラダ類,248.0,186.0
64,P040301002,04,惣菜,0403,サラダ類,040301,サラダ類,248.0,186.0
65,P040301003,04,惣菜,0403,サラダ類,040301,サラダ類,278.0,209.0
66,P040301004,04,惣菜,0403,サラダ類,040301,サラダ類,298.0,224.0
67,P040301005,04,惣菜,0403,サラダ類,040301,サラダ類,298.0,224.0
68,P040401001,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,118.0,89.0
69,P040401002,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,138.0,104.0
70,P040401003,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,198.0,149.0
71,P040401004,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,228.0,171.0
72,P040401005,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,228.0,171.0
73,P040401006,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,248.0,186.0
74,P040401007,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,258.0,194.0
75,P040401008,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,278.0,209.0
76,P040401009,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,278.0,209.0
77,P040401010,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,298.0,224.0
78,P040401011,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,298.0,224.0
79,P040401012,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,338.0,254.0
80,P040401013,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,358.0,269.0
81,P040401014,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,398.0,299.0
82,P040401015,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,398.0,299.0
83,P040401016,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,398.0,299.0
84,P040401017,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,398.0,299.0
85,P040401018,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,398.0,299.0
86,P040402001,04,惣菜,0404,和風惣菜,040402,和え物,228.0,171.0
87,P040403001,04,惣菜,0404,和風惣菜,040403,酢の物,198.0,149.0
88,P040403002,04,惣菜,0404,和風惣菜,040403,酢の物,248.0,186.0
89,P040403003,04,惣菜,0404,和風惣菜,040403,酢の物,248.0,186.0
90,P040403004,04,惣菜,0404,和風惣菜,040403,酢の物,248.0,186.0
91,P040403005,04,惣菜,0404,和風惣菜,040403,酢の物,248.0,186.0
92,P040403006,04,惣菜,0404,和風惣菜,040403,酢の物,278.0,209.0
93,P040403007,04,惣菜,0404,和風惣菜,040403,酢の物,298.0,224.0
94,P040403008,04,惣菜,0404,和風惣菜,040403,酢の物,298.0,224.0
95,P040404001,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,180.0,135.0
96,P040404002,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,198.0,149.0
97,P040404003,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,198.0,149.0
98,P040404004,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,235.0,176.0
99,P040404005,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,248.0,186.0
100,P040404006,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,278.0,209.0
101,P040404007,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,278.0,209.0
102,P040404008,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,288.0,216.0
103,P040404009,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,338.0,254.0
104,P040404010,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,398.0,299.0
105,P040404011,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,478.0,359.0
106,P040404012,04,惣菜,0404,和風惣菜,040404,その他和風惣菜,548.0,411.0
107,P040501001,04,惣菜,0405,フライ物,040501,フライ物,100.0,75.0
108,P040501002,04,惣菜,0405,フライ物,040501,フライ物,180.0,135.0
109,P040501003,04,惣菜,0405,フライ物,040501,フライ物,220.0,165.0
110,P040501004,04,惣菜,0405,フライ物,040501,フライ物,278.0,209.0
111,P040501005,04,惣菜,0405,フライ物,040501,フライ物,278.0,209.0
112,P040501006,04,惣菜,0405,フライ物,040501,フライ物,298.0,224.0
113,P040501007,04,惣菜,0405,フライ物,040501,フライ物,298.0,224.0
114,P040501008,04,惣菜,0405,フライ物,040501,フライ物,298.0,224.0
115,P040501009,04,惣菜,0405,フライ物,040501,フライ物,298.0,224.0
116,P040501010,04,惣菜,0405,フライ物,040501,フライ物,318.0,239.0
117,P040502001,04,惣菜,0405,フライ物,040502,唐揚げ類,208.0,156.0
118,P040502002,04,惣菜,0405,フライ物,040502,唐揚げ類,278.0,209.0
119,P040502003,04,惣菜,0405,フライ物,040502,唐揚げ類,298.0,224.0
120,P040502004,04,惣菜,0405,フライ物,040502,唐揚げ類,298.0,224.0
121,P040502005,04,惣菜,0405,フライ物,040502,唐揚げ類,298.0,224.0
122,P040502006,04,惣菜,0405,フライ物,040502,唐揚げ類,298.0,224.0
123,P040502007,04,惣菜,0405,フライ物,040502,唐揚げ類,298.0,224.0
124,P040503001,04,惣菜,0405,フライ物,040503,天麩羅類,298.0,224.0
125,P040504001,04,惣菜,0405,フライ物,040504,チキンロースト類,180.0,135.0
126,P040504002,04,惣菜,0405,フライ物,040504,チキンロースト類,218.0,164.0
127,P040504003,04,惣菜,0405,フライ物,040504,チキンロースト類,288.0,216.0
128,P040504004,04,惣菜,0405,フライ物,040504,チキンロースト類,288.0,216.0
129,P040504005,04,惣菜,0405,フライ物,040504,チキンロースト類,308.0,231.0
130,P040504006,04,惣菜,0405,フライ物,040504,チキンロースト類,338.0,254.0
131,P040504007,04,惣菜,0405,フライ物,040504,チキンロースト類,338.0,254.0
132,P040504008,04,惣菜,0405,フライ物,040504,チキンロースト類,358.0,269.0
133,P040504009,04,惣菜,0405,フライ物,040504,チキンロースト類,468.0,351.0
134,P040504010,04,惣菜,0405,フライ物,040504,チキンロースト類,498.0,374.0
135,P040601001,04,惣菜,0406,洋風惣菜,040601,グラタン・ピザ類,278.0,209.0
136,P040602001,04,惣菜,0406,洋風惣菜,040602,スナック類,405.0,304.0
137,P040602002,04,惣菜,0406,洋風惣菜,040602,スナック類,440.0,330.0
138,P040603001,04,惣菜,0406,洋風惣菜,040603,その他洋風惣菜,1980.0,1485.0
139,P040701001,04,惣菜,0407,中華惣菜,040701,中華惣菜,208.0,156.0
140,P040701002,04,惣菜,0407,中華惣菜,040701,中華惣菜,208.0,156.0
141,P040701003,04,惣菜,0407,中華惣菜,040701,中華惣菜,268.0,201.0
142,P040701004,04,惣菜,0407,中華惣菜,040701,中華惣菜,278.0,209.0
143,P040701005,04,惣菜,0407,中華惣菜,040701,中華惣菜,288.0,216.0
144,P040701006,04,惣菜,0407,中華惣菜,040701,中華惣菜,298.0,224.0
145,P040701007,04,惣菜,0407,中華惣菜,040701,中華惣菜,298.0,224.0
146,P040701008,04,惣菜,0407,中華惣菜,040701,中華惣菜,298.0,224.0
147,P040701009,04,惣菜,0407,中華惣菜,040701,中華惣菜,358.0,269.0
148,P040801001,04,惣菜,0408,焼き物,040801,うなぎ蒲焼,78.0,59.0
149,P040801002,04,惣菜,0408,焼き物,040801,うなぎ蒲焼,88.0,66.0
150,P040801003,04,惣菜,0408,焼き物,040801,うなぎ蒲焼,148.0,111.0
151,P040801004,04,惣菜,0408,焼き物,040801,うなぎ蒲焼,248.0,186.0
152,P040801005,04,惣菜,0408,焼き物,040801,うなぎ蒲焼,918.0,689.0
153,P040802001,04,惣菜,0408,焼き物,040802,その他やきもの,80.0,60.0
154,P040802002,04,惣菜,0408,焼き物,040802,その他やきもの,100.0,75.0
155,P040802003,04,惣菜,0408,焼き物,040802,その他やきもの,258.0,194.0
156,P040802004,04,惣菜,0408,焼き物,040802,その他やきもの,368.0,276.0
157,P040802005,04,惣菜,0408,焼き物,040802,その他やきもの,368.0,276.0
158,P040802006,04,惣菜,0408,焼き物,040802,その他やきもの,438.0,329.0
159,P040802007,04,惣菜,0408,焼き物,040802,その他やきもの,,
160,P041302001,04,惣菜,0413,その他,041302,その他,450.0,338.0
